iter	Logloss
0	0.6870036655
1	0.679939376
2	0.6741212739
3	0.6661451128
4	0.6588754654
5	0.6520003213
6	0.6453175015
7	0.6388573647
8	0.6326453951
9	0.6273039182
10	0.6222862138
11	0.6164258321
12	0.6106256909
13	0.6046362983
14	0.6001682281
15	0.5945804914
16	0.5900850296
17	0.5837714407
18	0.5785605643
19	0.5737031301
20	0.5690177282
21	0.5641693009
22	0.5606116189
23	0.5558633804
24	0.5513514413
25	0.547554281
26	0.5429936515
27	0.538784292
28	0.5349433687
29	0.531458007
30	0.5263845656
31	0.5223223368
32	0.5189635489
33	0.5160286162
34	0.5122120645
35	0.5100777944
36	0.5067200131
37	0.5037760735
38	0.500679228
39	0.4967895084
40	0.4929638969
41	0.489370452
42	0.4871754116
43	0.4840839174
44	0.4818951819
45	0.4792382452
46	0.4762547811
47	0.473642932
48	0.4703797234
49	0.4683978822
50	0.465341568
51	0.4624169668
52	0.459488021
53	0.4567045636
54	0.4539631738
55	0.4515409999
56	0.4499585893
57	0.4471904967
58	0.4448034498
59	0.4425729646
60	0.4405833615
61	0.4382728206
62	0.4347168605
63	0.4322535727
64	0.4296791289
65	0.4280597369
66	0.4258408546
67	0.4237105581
68	0.4209522406
69	0.4187353452
70	0.417605612
71	0.4159653452
72	0.4138503075
73	0.4120539559
74	0.4099367989
75	0.4082451397
76	0.4065572951
77	0.4041904343
78	0.4025564724
79	0.4002833366
80	0.39872596
81	0.3975376023
82	0.3960390356
83	0.3943474028
84	0.3926934666
85	0.3914676507
86	0.3899853494
87	0.388885604
88	0.3875890308
89	0.3860093223
90	0.3840852314
91	0.3821442127
92	0.3805977503
93	0.3792381816
94	0.3776681953
95	0.3767453035
96	0.3755129178
97	0.3747778469
98	0.3735286395
99	0.3722208871
100	0.3705561956
101	0.3692858484
102	0.3670783043
103	0.3656116592
104	0.3645191722
105	0.3636698723
106	0.362370597
107	0.3611591127
108	0.3602481153
109	0.3593434758
110	0.3585205873
111	0.3568278684
112	0.3556670083
113	0.3539546331
114	0.3525887595
115	0.3514874776
116	0.3508060773
117	0.3494182693
118	0.3485533926
119	0.347521464
120	0.3464658525
121	0.3445954588
122	0.3430575265
123	0.3415280978
124	0.3408835199
125	0.3400705655
126	0.3386657238
127	0.3373763031
128	0.3362948365
129	0.3352368143
130	0.3340756628
131	0.3330419328
132	0.3322916826
133	0.3304507997
134	0.329401652
135	0.3281296889
136	0.3273601532
137	0.3258390956
138	0.3253355026
139	0.3246018622
140	0.3238569366
141	0.3227413495
142	0.3218473328
143	0.3211567932
144	0.320561356
145	0.319337474
146	0.3188283708
147	0.3177470101
148	0.3167704211
149	0.3156300386
150	0.3144548999
151	0.3139479425
152	0.3126680056
153	0.3119278484
154	0.310800155
155	0.3094531165
156	0.3083018727
157	0.3075287872
158	0.3066722287
159	0.3058459229
160	0.3051440451
161	0.3041317993
162	0.3031986025
163	0.3021330833
164	0.3007648786
165	0.3003660838
166	0.2995598051
167	0.2990150717
168	0.2977508439
169	0.2973077562
170	0.2965097692
171	0.2960098055
172	0.2952687475
173	0.2946978675
174	0.2941618231
175	0.2934388585
176	0.2930329111
177	0.2919901212
178	0.2913164033
179	0.2905238205
180	0.2899532318
181	0.2893613709
182	0.2885021634
183	0.2875726488
184	0.2869742711
185	0.2860129674
186	0.2852635913
187	0.2844141324
188	0.2837231954
189	0.2834098339
190	0.2827843295
191	0.2820425034
192	0.2814546161
193	0.2805874348
194	0.2790672514
195	0.2784585158
196	0.2776999738
197	0.2767968708
198	0.2756597466
199	0.2749240133
200	0.2745789952
201	0.2740097311
202	0.2733758026
203	0.2728115188
204	0.271782928
205	0.2712924216
206	0.2710429827
207	0.2703411844
208	0.2699102296
209	0.2692620489
210	0.2686523861
211	0.2679915958
212	0.26765124
213	0.2672652668
214	0.2664678891
215	0.265576601
216	0.2649303542
217	0.2643668916
218	0.2630399068
219	0.262113995
220	0.2615582148
221	0.2610509396
222	0.2603674465
223	0.2591463725
224	0.2587007152
225	0.2580728531
226	0.2575845718
227	0.2569333182
228	0.2566547394
229	0.2563846111
230	0.2555571397
231	0.2550441424
232	0.2541796366
233	0.2537697156
234	0.2531948619
235	0.2527688344
236	0.2523257467
237	0.2517034213
238	0.2513854769
239	0.2509837151
240	0.2505277793
241	0.2499305672
242	0.2491412693
243	0.2485306793
244	0.2482365767
245	0.2477741771
246	0.2473547724
247	0.2468547821
248	0.246184402
249	0.2459197044
250	0.244978004
251	0.2445746793
252	0.2438902325
253	0.2433088091
254	0.2428845829
255	0.2423311075
256	0.241796679
257	0.2413320541
258	0.2407576773
259	0.239839024
260	0.2393826379
261	0.238916556
262	0.2384143141
263	0.2377416823
264	0.2370718055
265	0.2364558114
266	0.2362861633
267	0.2357803451
268	0.2352813615
269	0.2348141935
270	0.2344264189
271	0.2338248889
272	0.2331789864
273	0.2328857316
274	0.2323967086
275	0.2319761912
276	0.2314385838
277	0.2309037315
278	0.2304600875
279	0.2298492855
280	0.2286697759
281	0.2279587852
282	0.2274897363
283	0.2266905573
284	0.2260266675
285	0.2253184319
286	0.2249890963
287	0.224577268
288	0.2241391606
289	0.22346886
290	0.223060449
291	0.2225225502
292	0.2220663759
293	0.2214811643
294	0.2209504445
295	0.2203128073
296	0.2198269632
297	0.2192476326
298	0.2183663845
299	0.2179427677
